Title,Date
"Breaking Bad: Season 4: Crawl Space","10/10/2019"
"Breaking Bad: Season 4: Salud","09/10/2019"
"Breaking Bad: Season 4: Bug","09/10/2019"
"Breaking Bad: Season 4: Hermanos","09/10/2019"
"Breaking Bad: Season 4: Problem Dog","09/10/2019"
"Breaking Bad: Season 4: Cornered","08/10/2019"
"Breaking Bad: Season 4: Shotgun","08/10/2019"
"Breaking Bad: Season 4: Bullet Points","08/10/2019"
"Breaking Bad: Season 4: Open House","08/10/2019"
"Breaking Bad: Season 4: Thirty-Eight Snub","07/10/2019"
"Breaking Bad: Season 4: Box Cutter","07/10/2019"
"Breaking Bad: Season 3: Full Measure","07/10/2019"
"Breaking Bad: Season 3: Half Measures","06/10/2019"
"Breaking Bad: Season 3: Abiquiu","06/10/2019"
"Breaking Bad: Season 3: Fly","06/10/2019"
